name	x	y	z
Fp1	97.74	26.35	51.17
AFp1	93.44	16.49	71.15
AFz	91.62	-1.50	80.70
AF3	84.14	30.16	75.46
AF7	79.32	49.16	48.81
AFF5h	74.60	45.79	70.75
AFF1h	78.44	15.82	90.94
F1	63.86	22.28	101.74
F3	61.64	42.61	90.05
F5	61.43	57.31	68.31
F7	62.38	61.69	41.20
F9	57.75	61.37	11.15
FFT9h	42.31	69.43	28.23
FFT7h	46.27	68.10	54.33
FFC5h	48.96	56.74	82.11
FFC3h	45.33	41.88	102.21
FFC1h	47.31	15.73	112.93
FCz	32.71	-1.69	120.59
FC1	35.52	27.95	115.09
FC3	35.50	52.81	97.89
FC5	33.34	68.14	71.03
FT7	31.22	73.30	39.53
FT9	33.19	71.43	17.89
FTT9h	20.82	75.82	27.33
FTT7h	17.92	75.74	52.07
FCC5h	18.52	67.02	86.42
FCC3h	17.86	46.98	111.17
FCC1h	15.69	15.45	126.20
C1	0.35	31.60	123.20
C3	5.77	59.40	102.89
C5	4.81	75.17	68.47
T7	5.34	77.60	43.93
TTP7h	-10.04	76.56	51.88
CCP5h	-14.92	69.34	85.20
CCP3h	-16.31	47.53	112.50
CCP1h	-18.19	17.59	125.44
CP1	-33.56	32.44	115.81
CP3	-31.14	58.37	95.23
CP5	-26.04	72.14	66.90
TP7	-22.59	73.29	37.97
TPP9h	-34.13	70.54	24.55
TPP7h	-36.84	69.79	53.15
CPP5h	-42.80	61.52	78.61
CPP3h	-45.66	44.30	100.39
CPP1h	-50.21	16.76	109.35
P1	-61.46	22.07	96.84
P3	-59.51	48.32	80.68
P5	-53.94	59.75	60.90
P7	-49.81	64.17	37.75
PPO5h	-67.14	48.71	62.56
PPO1h	-73.20	16.22	82.42
POz	-81.66	-2.73	69.24
PO3	-79.59	28.18	61.20
PO7	-71.07	47.25	40.46
PPO9h	-56.65	60.42	23.37
POO9h	-80.10	29.50	19.50
O1	-84.63	24.81	33.75
POO1	-86.26	15.07	51.99
OI1h	-85.27	9.51	19.13
Iz	-82.27	-1.74	4.84
Cz	-2.04	-6.58	128.86
C2	-2.74	-35.96	124.15
C4	2.50	-64.76	98.68
C6	5.43	-77.18	63.51
T8	8.57	-80.07	32.85
FTT10h	27.42	-77.40	18.37
FTT8h	22.10	-78.25	48.10
FCC6h	18.53	-71.47	80.44
FCC4h	18.34	-52.56	110.09
FCC2h	12.20	-21.42	125.60
FC2	29.72	-34.33	115.13
FC4	34.84	-59.59	92.85
FC6	36.74	-73.39	64.04
FT8	35.28	-76.45	31.72
