name	x	y	z
Fp1	95.84	46.55	56.45
AFp1	107.08	23.21	67.14
AFz	97.28	24.95	87.4
AF3	87.54	43.14	82.39
AF7	72.94	63.65	52.12
AFF5h	74.26	55.78	81.05
AFF1h	84.12	9.67	109.22
F1	67.75	42.31	104.92
F3	55.59	56.77	98.46
F5	62.04	69.43	66.78
F7	60.97	71.11	34.61
F9	64.01	68.56	14.74
FFT9h	34.24	80.65	34.87
FFT7h	47.82	78.36	49.87
FFC5h	43.44	72.73	83.46
FFC3h	38.05	53.54	112.72
FFC1h	51.71	36.09	119.21
FCz	47.99	7.76	130.62
FC1	31.71	23.75	133.24
FC3	23.04	69.37	101.02
FC5	33.24	80.99	65.96
FT7	20.64	84.42	43.68
FT9	48.12	74.34	16.29
FTT9h	-32.59	79.67	29.19
FTT7h	-3.27	85.29	59.12
FCC5h	10.12	80.28	83.46
FCC3h	16.39	44.97	125.23
FCC1h	11.9	12.81	138.67
C1	-5.2	27.85	137.69
C3	3.8	61.1	114.63
C5	-22.9	79.17	74.44
T7	-14.7	84.61	41.18
TTP7h	-33.27	78.35	56.06
CCP5h	-11.76	73.94	96.93
CCP3h	-18.03	49.05	124.57
CCP1h	-23.49	17.12	138.51
CP1	-41.46	34.11	127.02
CP3	-33.93	62.68	105.77
CP5	-40.59	69.89	86.06
TP7	-42.3	76.12	40.31
TPP9h	-51.41	71.33	23.25
TPP7h	-49.92	69.68	68.29
CPP5h	-58.32	57.17	87.76
CPP3h	-48.85	50.82	110.11
CPP1h	-60.15	22.46	118.55
P1	-68.75	33.08	103.38
P3	-81.06	26.56	90.2
P5	-67.03	59.42	63.54
P7	-70.09	59.34	39.4
PPO5h	-85.14	38.82	70.32
PPO1h	-93.08	8.44	71.27
POz	-87.78	-11.25	86.07
PO3	-94.47	25.7	54.53
PO7	-91.52	32.95	36.11
PPO9h	-76.86	52.6	22.71
POO9h	-93.73	24.63	21.34
O1	-98.72	12.43	36.25
POO1	-99.44	-6.2	55.3
OI1h	-97.93	-0.68	22.4
Iz	-92.58	11.97	1.7
Cz	-9.37	-7.62	142.13
C2	6.58	-23.59	137.08
C4	4.85	-58.06	119.97
C6	20.91	-85.01	70.08
T8	-7.87	-87.14	35.58
FTT10h	10.34	-84.53	25.1
FTT8h	4.16	-87.67	56.22
FCC6h	20.39	-70.61	103.24
FCC4h	22.93	-43.33	127.35
FCC2h	29.1	-7.15	137.38
FC2	46.89	-26.15	127.54
FC4	39.73	-56.67	111.8
FC6	55.46	-73.95	67.29
FT8	22.64	-85.18	39.37
FT10	25.89	-78.83	6.6
FFT10h	35.04	-78.74	20.85
FFT8h	38.03	-82.43	53.29
FFC6h	39.36	-75.48	85.47
FFC4h	59.79	-36.52	115.37
FFC2h	62.59	-14.1	123.22
Fz	66.84	19.52	117.94
F2	76.15	-29.85	108.33
F4	53.41	-62.31	94.84
F6	71.06	-63.8	70.71
F8	52.57	-74.68	39.55
F10	44.52	-74.76	7.22
AFF6h	86.7	-46.09	80.84
AFF2h	97	-3.67	95.22
AF4	99.88	-31.07	73.44
AF8	77.87	-60.98	47.31
FP2	102.09	-37.39	56.2
AFp2	106.23	13	80.35
Oz	-98.82	-16.79	37.89
OI2h	-89.88	-34.89	22.25
POO10h	-71.76	-57.85	17.99
O2	-88.35	-41.64	35.95
POO2	-93.35	-20.24	65.16
PO4	-75	-46.57	83.39
PO8	-84.81	-44.11	59.19
PPO10h	-64.64	-65.24	32.5
PPO6h	-72.79	-59.24	59.43
PPO2h	-75.63	-23.46	99.58
Pz	-73.19	7.44	108.15
P2	-62.9	-46.79	101.77
P4	-50.12	-62.31	97.8
P6	-63.19	-62.48	78.19
P8	-55.33	-71.88	46.53
TPP10h	-53.09	-70.28	18.25
TPP8h	-45.21	-75.5	61.19
CPP6h	-34.36	-75.64	85.43
CPP4h	-36.08	-56.33	115.92
CPP2h	-63.99	-17.72	115.86
CP2	-50.01	-31.67	124.81
CP4	-14.69	-72.78	104.99
CP6	-11.89	-85.8	72.75
TP8	-37.02	-79.26	36.38
TTP8h	-29.61	-83.31	49.63
CCP6h	4.18	-81.09	90.43
CCP4h	-13.61	-40.04	132.18
CCP2h	-31.42	-23.17	135.41
N-Fp1	n/a	n/a	n/a
N-AFp1	n/a	n/a	n/a
N-AFz	n/a	n/a	n/a
N-AF3	n/a	n/a	n/a
N-AF7	n/a	n/a	n/a
N-AFF5h	n/a	n/a	n/a
N-AFF1h	n/a	n/a	n/a
N-F1	n/a	n/a	n/a
N-F3	n/a	n/a	n/a
N-F5	n/a	n/a	n/a
N-F7	n/a	n/a	n/a
N-F9	n/a	n/a	n/a
N-FFT9h	n/a	n/a	n/a
N-FFT7h	n/a	n/a	n/a
N-FFC5h	n/a	n/a	n/a
N-FFC3h	n/a	n/a	n/a
N-FFC1h	n/a	n/a	n/a
N-FCz	n/a	n/a	n/a
N-FC1	n/a	n/a	n/a
N-FC3	n/a	n/a	n/a
N-FC5	n/a	n/a	n/a
N-FT7	n/a	n/a	n/a
N-FT9	n/a	n/a	n/a
N-FTT9h	n/a	n/a	n/a
N-FTT7h	n/a	n/a	n/a
N-FCC5h	n/a	n/a	n/a
N-FCC3h	n/a	n/a	n/a
N-FCC1h	n/a	n/a	n/a
N-C1	n/a	n/a	n/a
N-C3	n/a	n/a	n/a
N-C5	n/a	n/a	n/a
N-T7	n/a	n/a	n/a
N-TTP7h	n/a	n/a	n/a
N-CCP5h	n/a	n/a	n/a
N-CCP3h	n/a	n/a	n/a
N-CCP1h	n/a	n/a	n/a
N-CP1	n/a	n/a	n/a
N-CP3	n/a	n/a	n/a
N-CP5	n/a	n/a	n/a
N-TP7	n/a	n/a	n/a
N-TPP9h	n/a	n/a	n/a
N-TPP7h	n/a	n/a	n/a
N-CPP5h	n/a	n/a	n/a
N-CPP3h	n/a	n/a	n/a
N-CPP1h	n/a	n/a	n/a
N-P1	n/a	n/a	n/a
N-P3	n/a	n/a	n/a
N-P5	n/a	n/a	n/a
N-P7	n/a	n/a	n/a
N-PPO5h	n/a	n/a	n/a
N-PPO1h	n/a	n/a	n/a
N-POz	n/a	n/a	n/a
N-PO3	n/a	n/a	n/a
N-PO7	n/a	n/a	n/a
N-PPO9h	n/a	n/a	n/a
N-POO9h	n/a	n/a	n/a
N-O1	n/a	n/a	n/a
N-POO1	n/a	n/a	n/a
N-OI1h	n/a	n/a	n/a
N-Iz	n/a	n/a	n/a
N-Cz	n/a	n/a	n/a
N-C2	n/a	n/a	n/a
