name	x	y	z
Fp1	90.95	31.41	69.86
AFp1	87.5	22.76	87.32
AFz	81.23	11.06	99.98
AF3	75.95	36.98	87.01
AF7	76.34	51.47	56.5
AFF5h	64	52.3	78.71
AFF1h	63.83	26.61	107.95
F1	45.81	29.96	115.99
F3	49.7	50.62	97.24
F5	52.85	60.74	74.14
F7	54.03	67.22	46.3
F9	52.77	70.53	13.93
FFT9h	46.32	71.31	29.84
FFT7h	38.63	71.82	58.76
FFC5h	35.09	64.04	85.42
FFC3h	28.29	49.37	108.76
FFC1h	26.04	21.19	128.08
FCz	11.06	7.67	134.48
FC1	10.34	36.68	124.86
FC3	15.16	62.11	100.9
FC5	24.41	72.91	69.05
FT7	30.82	74.77	43.04
FT9	36.62	72.97	7.89
FTT9h	21.12	75.85	23.51
FTT7h	12.28	76.62	51.73
FCC5h	4.07	71.34	85.63
FCC3h	-5.08	55.97	112.64
FCC1h	-8.72	25.37	132.64
C1	-24.12	37.64	127.26
C3	-15.21	65.74	96.53
C5	-7.65	76.07	62.59
T7	0.83	76.72	30.35
TTP7h	-20.24	75.26	41.9
CCP5h	-29.48	70.5	76.06
CCP3h	-37.39	56.89	103.02
CCP1h	-44.35	26.39	125.14
CP1	-58.51	38.36	108.47
CP3	-46.96	61.92	82.39
CP5	-38.15	71.17	54.04
TP7	-30.9	71.95	23.72
TPP9h	-41.87	67.91	7.66
TPP7h	-47.95	68.74	38.57
CPP5h	-55.69	63.57	65.24
CPP3h	-65.92	43.87	92.92
CPP1h	-73.91	22.84	102.08
P1	-81.31	30.36	85.61
P3	-73.51	50.71	68.56
P5	-65.02	61.07	44.98
P7	-57.25	63.69	18.94
PPO5h	-78.73	50.02	45.73
PPO1h	-92.39	18.64	69.16
POz	-97.09	1.54	56.33
PO3	-91.53	31.62	45.87
PO7	-80	46.56	20.79
PPO9h	-66.26	57.18	3.54
POO9h	-82.77	44.41	7.01
O1	-94.79	25.15	19.92
POO1	-97.47	16.79	37.49
OI1h	-93.61	17.17	2.21
Iz	-91.64	-2.75	-10.12
Cz	-26.54	5.24	137.45
C2	-24.6	-27.4	132.11
C4	-12.71	-56.86	107.61
C6	-4.31	-73.08	73.82
T8	2.3	-77.89	41.84
FTT10h	20.01	-77.25	32.77
FTT8h	11.85	-75.15	61.08
FCC6h	7.28	-65.89	94.49
FCC4h	-3.09	-44.6	121.12
FCC2h	-10.69	-12.27	136.96
FC2	10.85	-27.32	130.35
FC4	17.31	-53.72	108
FC6	25.32	-69.91	80.58
FT8	30.45	-74.84	45.1
FT10	41.47	-73.6	15.12
