name	x	y	z
Fp1	87.93	31.24	66.41
AFp1	82.26	23.37	81.64
AFz	76.00	8.36	92.97
AF3	72.31	37.97	83.98
AF7	73.48	53.35	54.53
AFF5h	61.09	52.64	77.21
AFF1h	58.24	22.85	104.75
F1	39.80	28.49	113.29
F3	43.98	50.93	94.78
F5	48.58	63.05	72.91
F7	51.81	69.74	46.14
F9	47.84	73.97	15.37
FFT9h	41.14	78.64	28.19
FFT7h	38.22	73.27	59.42
FFC5h	30.89	65.27	85.34
FFC3h	23.37	46.20	109.98
FFC1h	26.06	18.48	122.09
FCz	9.41	2.11	127.11
FC1	6.95	35.98	120.47
FC3	10.73	63.01	100.92
FC5	17.85	76.83	69.86
FT7	28.41	81.35	40.36
FT9	35.96	78.14	11.96
FTT9h	20.19	84.85	27.08
FTT7h	5.38	83.63	53.19
FCC5h	0.06	74.99	85.39
FCC3h	-8.34	53.52	113.08
FCC1h	-9.18	21.15	126.14
C1	-26.41	34.95	121.64
C3	-20.20	66.89	97.62
C5	-11.32	80.97	67.10
T7	-1.98	86.30	35.05
TTP7h	-23.87	81.31	45.31
CCP5h	-31.81	71.76	76.75
CCP3h	-38.34	51.86	105.25
CCP1h	-43.24	20.30	118.24
CP1	-56.80	32.74	106.15
CP3	-49.13	59.87	84.07
CP5	-40.26	73.90	55.32
TP7	-33.70	79.29	27.83
TPP9h	-52.07	73.26	18.56
TPP7h	-48.63	72.69	40.08
CPP5h	-59.69	61.12	64.41
CPP3h	-65.31	41.20	88.47
CPP1h	-70.15	14.78	94.59
P1	-77.86	21.16	82.79
P3	-72.95	48.34	66.04
P5	-67.74	57.87	47.22
P7	-59.50	67.58	23.99
PPO5h	-79.71	45.77	46.59
PPO1h	-87.03	10.83	64.03
POz	-89.79	-4.65	49.13
PO3	-89.53	29.68	45.42
PO7	-81.39	45.45	21.31
PPO9h	-67.17	63.33	7.91
POO9h	-83.51	43.87	10.67
O1	-93.79	27.66	19.31
POO1	-92.97	13.27	32.80
OI1h	-94.37	11.06	2.60
Iz	-86.54	-4.60	-8.87
Cz	-26.68	-1.72	125.32
C2	-25.29	-31.53	119.72
C4	-15.98	-63.55	98.73
C6	-7.13	-78.99	65.40
T8	1.85	-85.36	34.89
FTT10h	19.64	-82.14	24.14
FTT8h	7.49	-81.58	56.69
FCC6h	3.86	-72.50	85.39
FCC4h	-1.53	-48.77	114.10
FCC2h	-10.26	-15.92	127.08
FC2	9.24	-31.91	121.62
FC4	17.62	-56.99	103.74
FC6	24.30	-74.00	73.16
FT8	32.27	-79.37	39.23
FT10	36.30	-76.36	12.91
FFT10h	46.91	-73.41	28.68
FFT8h	40.74	-72.28	59.56
FFC6h	36.42	-61.30	88.61
FFC4h	30.25	-41.78	108.99
FFC2h	24.41	-11.98	123.65
Fz	38.71	0.36	118.81
F2	41.69	-22.93	114.47
F4	47.38	-47.06	98.58
F6	51.29	-59.46	77.92
F8	53.41	-68.41	48.52
F10	54.03	-71.51	14.81
AFF6h	66.04	-48.18	82.18
AFF2h	58.13	-16.29	107.10
AF4	74.52	-32.24	88.52
AF8	78.24	-49.66	59.02
FP2	88.97	-26.74	69.64
AFp2	82.96	-17.75	82.39
Oz	-93.50	-2.88	17.11
OI2h	-89.08	-15.11	5.00
