name	x	y	z
Fp1	77.89	35.65	98.07
AFp1	71.19	17.12	105.42
AFz	61.69	3.41	114.26
AF3	58.67	32.05	106.75
AF7	66.16	55.67	79.33
AFF5h	52.18	51.35	94.26
AFF1h	42.26	21.23	120.33
F1	27.42	27.23	124.99
F3	26.56	51.36	108.42
F5	40.85	63.25	87.78
F7	49.15	72.31	62.77
F9	44.38	84.34	33.81
FFT9h	33.86	79.97	39.90
FFT7h	29.30	75.48	75.36
FFC5h	17.09	67.03	99.67
FFC3h	10.37	46.17	120.37
FFC1h	5.58	20.97	133.42
FCz	-12.34	1.88	139.77
FC1	-10.26	35.50	130.23
FC3	-4.81	62.83	109.83
FC5	8.01	78.57	80.55
FT7	20.03	81.81	51.84
FT9	30.36	79.75	22.24
FTT9h	13.31	83.49	35.60
FTT7h	0.39	84.15	58.98
FCC5h	-15.72	78.66	92.46
FCC3h	-24.92	55.53	116.69
FCC1h	-30.60	21.58	134.63
C1	-47.97	33.37	124.50
C3	-36.36	66.42	98.97
C5	-24.41	81.34	71.63
T7	-7.64	85.34	41.97
TTP7h	-29.40	81.43	42.37
CCP5h	-46.75	71.70	74.45
CCP3h	-58.89	52.76	99.10
CCP1h	-65.62	20.87	116.16
CP1	-76.50	32.61	99.79
CP3	-67.24	57.86	79.77
CP5	-51.69	72.30	53.93
TP7	-37.01	78.79	20.94
TPP9h	-45.93	74.27	6.47
TPP7h	-58.78	70.85	35.36
CPP5h	-72.79	59.44	58.63
CPP3h	-83.00	44.19	76.46
CPP1h	-92.00	13.91	86.90
P1	-97.01	27.23	68.75
P3	-88.05	45.06	55.75
P5	-73.44	61.43	40.03
P7	-64.24	66.06	14.30
PPO5h	-90.89	44.62	31.74
PPO1h	-102.50	18.24	54.22
POz	-104.81	-6.47	34.98
PO3	-100.46	30.57	31.61
PO7	-85.27	43.43	6.93
PPO9h	-64.97	62.59	-1.44
POO9h	-87.16	42.83	-10.40
O1	-94.85	30.09	6.56
POO1	-104.90	12.57	18.86
OI1h	-96.44	14.39	-11.73
Iz	-91.96	-2.24	-26.60
Cz	-51.61	-6.00	130.03
C2	-49.10	-35.75	123.17
C4	-33.16	-68.00	100.69
C6	-17.14	-82.64	66.83
T8	-4.60	-85.60	38.02
FTT10h	18.61	-82.42	26.86
FTT8h	1.75	-84.47	58.08
FCC6h	-10.73	-76.76	91.20
FCC4h	-23.00	-56.95	117.23
FCC2h	-32.89	-22.62	134.33
FC2	-12.04	-35.58	131.26
FC4	-2.55	-64.26	109.11
FC6	15.55	-78.84	79.25
FT8	23.18	-83.03	49.76
FT10	38.95	-77.79	19.21
FFT10h	43.26	-78.48	38.66
FFT8h	31.62	-78.71	69.63
FFC6h	20.27	-67.22	96.98
FFC4h	9.09	-46.28	120.62
FFC2h	4.13	-16.94	135.74
Fz	19.00	-1.55	133.77
F2	25.42	-25.58	127.31
F4	29.23	-52.59	109.14
F6	43.89	-63.74	89.84
F8	51.35	-72.44	62.48
F10	54.14	-85.06	31.02
AFF6h	53.02	-53.69	96.47
AFF2h	39.64	-19.16	124.95
AF4	61.64	-36.62	105.83
AF8	68.20	-57.54	82.01
FP2	75.14	-36.52	100.52
AFp2	70.35	-18.71	107.54
Oz	-101.65	-4.11	5.02
OI2h	-95.51	-15.71	-6.96
POO10h	-84.37	-46.39	-7.21
O2	-94.76	-27.86	7.79
POO2	-103.01	-11.41	18.00
PO4	-98.29	-31.67	29.08
PO8	-82.48	-48.80	7.47
PPO10h	-58.81	-65.79	-8.78
PPO6h	-85.04	-48.09	30.40
PPO2h	-102.74	-20.73	49.03
Pz	-97.45	-0.60	73.93
P2	-93.90	-28.70	73.07
P4	-83.31	-50.56	55.11
P6	-68.84	-62.50	35.00
P8	-56.58	-69.87	11.47
TPP10h	-46.24	-76.04	1.58
TPP8h	-52.08	-72.24	27.97
CPP6h	-67.90	-62.43	55.55
CPP4h	-79.26	-44.93	81.72
CPP2h	-90.21	-17.67	87.04
CP2	-76.01	-34.23	99.40
CP4	-60.81	-61.52	78.78
CP6	-47.75	-73.63	52.03
TP8	-32.67	-78.30	20.74
TTP8h	-28.53	-81.13	45.49
CCP6h	-40.75	-73.92	76.24
CCP4h	-54.84	-55.09	101.95
CCP2h	-64.62	-21.71	119.76
N-Fp1	83.92	29.44	-6.99
N-AFp1	86.19	12.24	14.19
N-AFz	80.77	-0.23	35.42
N-AF3	76.84	33.70	21.23
N-AF7	68.57	54.84	-10.59
N-AFF5h	64.04	50.80	23.09
N-AFF1h	70.76	11.44	50.35
N-F1	56.93	27.50	60.34
N-F3	53.11	50.24	42.19
N-F5	48.04	64.47	16.92
N-F7	42.47	70.26	-11.42
N-F9	41.65	70.10	-49.95
N-FFT9h	28.08	79.07	-31.25
N-FFT7h	31.30	74.50	4.85
N-FFC5h	36.43	65.24	36.14
N-FFC3h	40.76	44.41	61.69
N-FFC1h	43.66	15.42	77.68
N-FCz	27.39	-0.38	88.67
N-FC1	26.01	34.06	79.99
N-FC3	22.72	60.18	55.54
N-FC5	18.64	77.21	24.46
N-FT7	14.12	80.78	-11.13
N-FT9	14.57	84.08	-50.43
N-FTT9h	-1.85	84.13	-29.79
N-FTT7h	0.83	82.35	8.58
N-FCC5h	4.30	74.69	45.31
N-FCC3h	7.18	51.05	74.38
N-FCC1h	9.09	18.22	92.53
N-C1	-9.98	36.16	89.75
N-C3	-11.63	65.36	64.36
N-C5	-13.76	80.28	29.16
N-T7	-16.02	84.16	-9.35
N-TTP7h	-30.63	85.57	11.15
N-CCP5h	-29.73	76.41	49.22
N-CCP3h	-28.91	52.93	80.30
N-CCP1h	-28.32	18.35	98.22
N-CP1	-47.29	35.51	91.31
N-CP3	-47.01	63.56	65.62
N-CP5	-46.55	79.59	30.95
N-TP7	-46.02	84.83	-7.06
N-TPP9h	-60.76	78.16	-23.82
N-TPP7h	-60.83	76.68	12.88
N-CPP5h	-62.97	68.12	47.25
N-CPP3h	-64.69	46.91	75.30
N-CPP1h	-65.60	15.82	91.16
N-P1	-80.52	28.62	75.44
N-P3	-78.79	53.01	55.94
N-P5	-76.29	67.27	28.38
N-P7	-73.45	72.43	-2.49
N-PPO5h	-89.90	54.01	37.33
N-PPO1h	-92.61	12.05	65.51
N-POz	-102.18	-0.22	50.61
N-PO3	-100.85	36.51	37.17
N-PO7	-97.53	54.84	2.79
N-PPO9h	-87.66	64.60	-19.01
N-POO9h	-108.07	42.86	-13.15
N-O1	-112.45	29.41	8.84
N-POO1	-109.27	13.66	32.86
N-OI1h	-117.99	14.85	-6.92
N-Iz	-118.56	-0.00	-23.08
N-Cz	-9.17	-0.40	100.24
N-C2	-9.62	-37.67	88.41
N-C4	-10.90	-67.12	63.58
N-C6	-12.78	-83.46	29.21
N-T8	-15.02	-85.08	-9.49
N-FTT10h	-1.81	-84.12	-29.64
N-FTT8h	1.95	-83.89	8.50
N-FCC6h	5.34	-77.00	45.35
N-FCC4h	7.80	-51.89	73.51
N-FCC2h	9.25	-18.79	91.56
N-FC2	26.44	-34.78	78.81
N-FC4	23.72	-62.29	55.63
N-FC6	19.94	-79.53	24.44
N-FT8	15.42	-81.82	-11.33
N-FT10	14.36	-84.11	-50.54
N-FFT10h	28.51	-80.10	-31.34
N-FFT8h	32.98	-78.05	4.48
N-FFC6h	37.80	-67.13	35.30
N-FFC4h	41.62	-45.85	60.65
N-FFC2h	44.05	-17.59	77.79
N-Fz	58.51	-0.31	66.46
N-F2	57.60	-29.51	59.54
N-F4	54.30	-51.84	40.81
N-F6	49.83	-67.91	16.37
N-F8	44.42	-73.04	-12.00
N-F10	42.07	-72.11	-50.45
N-AFF6h	65.07	-52.40	22.86
N-AFF2h	71.20	-13.48	51.17
N-AF4	77.73	-35.71	21.96
N-AF8	69.66	-55.74	-10.75
N-FP2	84.90	-29.87	-7.08
N-AFp2	86.76	-13.62	15.30
N-Oz	-114.89	-0.11	14.66
N-OI2h	-118.02	-15.09	-6.93
N-POO10h	-109.13	-43.89	-13.17
N-O2	-112.16	-29.84	8.80
N-POO2	-109.11	-13.65	30.94
N-PO4	-100.85	-36.78	36.40
N-PO8	-97.63	-55.67	2.73
N-PPO10h	-87.81	-65.01	-18.95
N-PPO6h	-89.64	-54.61	37.03
N-PPO2h	-92.69	-13.92	66.96
N-Pz	-81.11	-0.32	82.61
N-P2	-80.49	-31.92	76.72
N-P4	-78.56	-55.67	56.56
N-P6	-75.90	-67.89	28.09
N-P8	-73.07	-73.06	-2.54
N-TPP10h	-60.96	-78.90	-23.80
N-TPP8h	-60.43	-78.52	12.90
N-CPP6h	-62.62	-71.10	47.33
N-CPP4h	-64.48	-50.67	76.13
N-CPP2h	-65.59	-19.42	92.41
N-CP2	-47.07	-38.38	90.69
N-CP4	-46.64	-66.61	65.58
N-CP6	-46.10	-83.32	31.21
N-TP8	-45.55	-85.55	-7.13
N-TTP8h	-29.82	-86.00	11.25
N-CCP6h	-28.99	-79.01	49.63
N-CCP4h	-28.39	-55.11	80.47
N-CCP2h	-28.15	-20.22	98.17
LISCM	n/a	n/a	n/a
LSSCM	n/a	n/a	n/a
LSTrap	n/a	n/a	n/a
LITrap	n/a	n/a	n/a
CGY-x	n/a	n/a	n/a
CGY-y	n/a	n/a	n/a
CGY-z	n/a	n/a	n/a
RITrap	n/a	n/a	n/a
RISCM	n/a	n/a	n/a
RSSCM	n/a	n/a	n/a
RSTrap	n/a	n/a	n/a
CWR-x	n/a	n/a	n/a
CWR-y	n/a	n/a	n/a
CWR-z	n/a	n/a	n/a
NGY-x	n/a	n/a	n/a
NGY-y	n/a	n/a	n/a
NGY-z	n/a	n/a	n/a
NWR-x	n/a	n/a	n/a
NWR-y	n/a	n/a	n/a
NWR-z	n/a	n/a	n/a
SyncPulse(uV)	n/a	n/a	n/a
Participant_Backpack_Acc_X(g)	n/a	n/a	n/a
Participant_Paddle_Acc_X(g)	n/a	n/a	n/a
BallMachine_Acc_X(g)	n/a	n/a	n/a
Researcher_Paddle_Acc_X(g)	n/a	n/a	n/a
Net_Acc_X(g)	n/a	n/a	n/a
Table_OtherSide_Acc_X(g)	n/a	n/a	n/a
Table_ParticipantSide_Acc_X(g)	n/a	n/a	n/a
Participant_Backpack_Acc_Y(g)	n/a	n/a	n/a
Participant_Paddle_Acc_Y(g)	n/a	n/a	n/a
BallMachine_Acc_Y(g)	n/a	n/a	n/a
Researcher_Paddle_Acc_Y(g)	n/a	n/a	n/a
Net_Acc_Y(g)	n/a	n/a	n/a
