name	x	y	z
Fp1	99.26	41.96	55.14
AFp1	110.61	17.38	62.47
AFz	105.35	20.36	81.97
AF3	93.68	41.02	79.53
AF7	78.72	60.34	51.22
AFF5h	81.96	51.92	81.75
AFF1h	77.82	38.63	104.03
F1	63.17	31.84	121.47
F3	65.53	54.17	98.68
F5	66.99	65.77	66.50
F7	66.70	66.93	35.37
F9	68.26	68.41	14.91
FFT9h	52.99	73.72	52.27
FFT7h	34.88	77.76	67.80
FFC5h	51.00	68.58	85.26
FFC3h	49.23	53.25	114.73
FFC1h	41.72	22.37	136.13
FCz	37.16	-7.32	140.21
FC1	26.48	43.31	131.58
FC3	33.84	67.00	104.14
FC5	19.02	78.91	85.80
FT7	24.44	80.68	48.55
FT9	50.52	74.22	14.20
FTT9h	34.57	78.97	35.72
FTT7h	-0.64	81.04	62.59
FCC5h	-4.68	73.85	100.10
FCC3h	14.49	60.10	120.36
FCC1h	25.28	10.73	144.42
C1	4.61	28.67	143.03
C3	-24.87	64.46	114.34
C5	-17.38	78.38	81.12
T7	-15.51	81.58	44.40
TTP7h	-31.09	77.66	64.01
CCP5h	-34.22	71.68	96.28
CCP3h	-10.16	51.04	130.75
CCP1h	-19.35	19.30	144.17
CP1	-33.25	34.12	135.21
CP3	-45.44	50.41	120.06
CP5	-46.15	72.26	74.86
TP7	-33.04	81.32	31.68
TPP9h	-59.45	74.89	30.48
TPP7h	-44.88	76.19	46.71
CPP5h	-54.84	59.02	103.68
CPP3h	-63.17	37.77	118.70
CPP1h	-52.25	22.88	132.05
P1	-68.71	4.88	120.39
P3	-80.06	31.40	103.34
P5	-66.77	61.77	77.35
P7	-73.00	64.58	55.45
PPO5h	-82.91	46.74	81.43
PPO1h	-92.40	15.22	88.15
POz	-93.00	-13.96	83.99
PO3	-95.71	31.88	70.55
PO7	-94.59	42.83	53.52
PPO9h	-80.43	62.89	39.35
POO9h	-103.94	27.65	37.39
O1	-105.22	14.71	54.06
POO1	-100.88	-5.64	69.21
OI1h	-108.02	1.63	32.58
Iz	-104.62	20.01	19.71
Cz	0.48	-10.92	148.54
C2	-4.03	-41.39	138.79
C4	10.76	-59.17	123.92
C6	23.09	-79.52	71.88
T8	4.25	-79.00	22.49
FTT10h	33.55	-76.35	20.08
FTT8h	19.46	-79.85	36.52
FCC6h	25.02	-69.14	105.19
FCC4h	31.02	-43.57	131.69
FCC2h	16.19	-26.29	143.34
FC2	54.96	-31.48	129.91
FC4	45.09	-58.30	113.03
FC6	41.21	-74.07	85.65
FT8	36.75	-78.64	50.84
FT10	23.14	-77.07	2.14
FFT10h	48.42	-72.75	36.26
FFT8h	56.15	-72.55	63.86
FFC6h	57.20	-64.15	94.62
FFC4h	67.48	-41.46	115.10
FFC2h	58.80	5.31	132.30
Fz	77.09	16.65	117.96
F2	72.35	-15.59	124.35
F4	83.50	-37.30	105.66
F6	71.91	-64.60	68.11
F8	75.71	-62.84	43.37
F10	42.23	-74.46	4.87
AFF6h	90.70	-49.80	78.03
AFF2h	91.38	7.09	106.59
AF4	104.27	-10.50	89.60
AF8	99.56	-45.93	54.18
FP2	102.37	-38.79	70.56
AFp2	110.91	5.58	74.92
Oz	-102.85	-14.38	52.03
OI2h	-100.26	-31.31	39.57
POO10h	-82.29	-50.44	27.88
O2	-93.79	-39.77	49.51
POO2	-87.58	-40.04	71.62
PO4	-73.79	-41.78	95.44
PO8	-70.36	-60.59	39.61
PPO10h	-60.03	-67.43	24.86
PPO6h	-73.96	-55.83	66.25
PPO2h	-72.90	-22.32	112.99
Pz	-85.41	-6.61	101.53
P2	-59.17	-41.38	115.69
P4	-58.79	-59.09	88.01
P6	-44.58	-72.78	70.76
P8	-58.54	-68.41	54.41
TPP10h	-42.37	-74.96	38.96
TPP8h	-26.41	-78.01	54.12
CPP6h	-31.67	-70.51	90.92
CPP4h	-45.96	-59.94	106.81
CPP2h	-60.02	-10.76	129.97
CP2	-44.13	-31.62	134.14
CP4	-9.36	-69.33	108.39
CP6	-11.80	-79.77	73.12
TP8	-11.05	-81.18	38.26
TTP8h	2.86	-80.88	58.81
CCP6h	5.92	-77.30	89.58
CCP4h	-29.29	-56.10	123.13
CCP2h	-25.07	-22.12	143.86
N-Fp1	83.92	29.44	-6.99
N-AFp1	86.19	12.24	14.19
N-AFz	80.77	-0.23	35.42
N-AF3	76.84	33.70	21.23
N-AF7	68.57	54.84	-10.59
N-AFF5h	64.04	50.80	23.09
N-AFF1h	70.76	11.44	50.35
N-F1	56.93	27.50	60.34
N-F3	53.11	50.24	42.19
N-F5	48.04	64.47	16.92
N-F7	42.47	70.26	-11.42
N-F9	41.65	70.10	-49.95
N-FFT9h	28.08	79.07	-31.25
N-FFT7h	31.30	74.50	4.85
N-FFC5h	36.43	65.24	36.14
N-FFC3h	40.76	44.41	61.69
N-FFC1h	43.66	15.42	77.68
N-FCz	27.39	-0.38	88.67
N-FC1	26.01	34.06	79.99
N-FC3	22.72	60.18	55.54
N-FC5	18.64	77.21	24.46
N-FT7	14.12	80.78	-11.13
N-FT9	14.57	84.08	-50.43
N-FTT9h	-1.85	84.13	-29.79
N-FTT7h	0.83	82.35	8.58
N-FCC5h	4.30	74.69	45.31
N-FCC3h	7.18	51.05	74.38
N-FCC1h	9.09	18.22	92.53
N-C1	-9.98	36.16	89.75
N-C3	-11.63	65.36	64.36
N-C5	-13.76	80.28	29.16
N-T7	-16.02	84.16	-9.35
N-TTP7h	-30.63	85.57	11.15
N-CCP5h	-29.73	76.41	49.22
N-CCP3h	-28.91	52.93	80.30
N-CCP1h	-28.32	18.35	98.22
N-CP1	-47.29	35.51	91.31
N-CP3	-47.01	63.56	65.62
N-CP5	-46.55	79.59	30.95
N-TP7	-46.02	84.83	-7.06
N-TPP9h	-60.76	78.16	-23.82
N-TPP7h	-60.83	76.68	12.88
N-CPP5h	-62.97	68.12	47.25
N-CPP3h	-64.69	46.91	75.30
N-CPP1h	-65.60	15.82	91.16
N-P1	-80.52	28.62	75.44
N-P3	-78.79	53.01	55.94
N-P5	-76.29	67.27	28.38
N-P7	-73.45	72.43	-2.49
N-PPO5h	-89.90	54.01	37.33
N-PPO1h	-92.61	12.05	65.51
N-POz	-102.18	-0.22	50.61
N-PO3	-100.85	36.51	37.17
N-PO7	-97.53	54.84	2.79
N-PPO9h	-87.66	64.60	-19.01
N-POO9h	-108.07	42.86	-13.15
N-O1	-112.45	29.41	8.84
N-POO1	-109.27	13.66	32.86
N-OI1h	-117.99	14.85	-6.92
N-Iz	-118.56	-0.00	-23.08
N-Cz	-9.17	-0.40	100.24
N-C2	-9.62	-37.67	88.41
N-C4	-10.90	-67.12	63.58
N-C6	-12.78	-83.46	29.21
N-T8	-15.02	-85.08	-9.49
N-FTT10h	-1.81	-84.12	-29.64
N-FTT8h	1.95	-83.89	8.50
N-FCC6h	5.34	-77.00	45.35
N-FCC4h	7.80	-51.89	73.51
N-FCC2h	9.25	-18.79	91.56
N-FC2	26.44	-34.78	78.81
N-FC4	23.72	-62.29	55.63
N-FC6	19.94	-79.53	24.44
N-FT8	15.42	-81.82	-11.33
N-FT10	14.36	-84.11	-50.54
N-FFT10h	28.51	-80.10	-31.34
N-FFT8h	32.98	-78.05	4.48
N-FFC6h	37.80	-67.13	35.30
N-FFC4h	41.62	-45.85	60.65
N-FFC2h	44.05	-17.59	77.79
N-Fz	58.51	-0.31	66.46
N-F2	57.60	-29.51	59.54
N-F4	54.30	-51.84	40.81
N-F6	49.83	-67.91	16.37
N-F8	44.42	-73.04	-12.00
N-F10	42.07	-72.11	-50.45
N-AFF6h	65.07	-52.40	22.86
N-AFF2h	71.20	-13.48	51.17
N-AF4	77.73	-35.71	21.96
N-AF8	69.66	-55.74	-10.75
N-FP2	84.90	-29.87	-7.08
N-AFp2	86.76	-13.62	15.30
