name	x	y	z
Fp1	95.54	33.70	45.91
AFp1	95.10	26.99	62.40
AFz	94.24	8.89	77.09
AF3	85.21	42.21	68.17
AF7	74.15	55.75	37.35
AFF5h	70.64	57.25	61.31
AFF1h	78.61	28.92	88.81
F1	61.76	35.25	99.24
F3	59.58	54.93	83.35
F5	58.30	64.36	59.64
F7	53.79	64.72	31.14
F9	43.51	63.89	4.27
FFT9h	38.12	67.83	19.30
FFT7h	41.53	72.27	47.29
FFC5h	43.05	65.93	76.91
FFC3h	42.89	50.10	99.04
FFC1h	48.95	25.81	114.14
FCz	36.34	10.64	123.04
FC1	31.47	39.33	115.32
FC3	29.39	62.04	93.94
FC5	25.63	74.01	65.20
FT7	23.57	74.08	32.44
FT9	24.92	68.31	-0.02
FTT9h	14.37	74.09	22.48
FTT7h	9.32	78.39	51.31
FCC5h	13.60	72.68	81.87
FCC3h	11.97	54.83	108.63
FCC1h	15.67	25.80	125.12
C1	-3.20	35.89	124.21
C3	-1.37	65.68	98.98
C5	-0.05	78.22	63.94
T7	-1.89	78.90	36.60
TTP7h	-23.91	73.69	50.72
CCP5h	-22.21	71.54	80.27
CCP3h	-19.11	53.30	111.06
CCP1h	-17.51	24.51	128.16
CP1	-36.23	32.29	120.93
CP3	-38.49	59.07	96.34
CP5	-34.54	72.65	64.34
TP7	-35.01	71.63	36.88
TPP9h	-50.26	64.98	24.07
TPP7h	-46.96	67.92	51.22
CPP5h	-50.53	61.83	78.14
CPP3h	-51.98	41.90	104.56
CPP1h	-52.32	17.63	116.27
P1	-65.30	23.99	103.07
P3	-64.49	48.30	86.23
P5	-61.38	59.68	61.89
P7	-61.89	59.97	35.59
PPO5h	-76.39	46.16	66.53
PPO1h	-78.74	15.29	89.40
POz	-86.40	-3.91	76.74
PO3	-86.38	25.32	70.19
PO7	-80.27	43.76	41.00
PPO9h	-69.96	53.87	23.84
POO9h	-83.01	39.97	24.78
O1	-92.75	17.08	39.47
POO1	-91.17	8.76	60.23
OI1h	-89.12	2.54	24.82
Iz	-87.77	-11.66	15.96
Cz	-2.69	3.47	132.28
C2	0.89	-29.28	126.39
C4	7.79	-57.46	106.20
C6	8.05	-74.49	70.39
T8	9.07	-79.04	38.37
FTT10h	31.13	-73.37	23.49
FTT8h	21.66	-76.93	55.70
FCC6h	23.61	-66.91	85.53
FCC4h	20.00	-44.34	114.35
FCC2h	17.73	-13.88	127.98
FC2	36.55	-26.23	118.49
FC4	39.41	-51.46	101.01
FC6	41.32	-69.68	69.60
FT8	39.23	-73.07	40.31
FT10	41.68	-68.23	7.62
FFT10h	49.51	-67.06	22.44
FFT8h	53.56	-65.99	50.00
FFC6h	55.82	-58.66	82.26
FFC4h	53.66	-37.91	103.63
FFC2h	54.91	-10.30	114.08
Fz	64.49	4.79	107.51
F2	66.34	-18.63	104.58
F4	67.87	-43.11	89.98
F6	68.15	-57.82	65.33
F8	63.07	-61.81	37.89
F10	50.64	-67.18	10.53
AFF6h	81.63	-45.21	67.87
AFF2h	79.93	-9.09	94.84
AF4	91.37	-27.19	73.51
AF8	85.75	-47.15	43.40
FP2	100.35	-23.14	50.96
AFp2	100.33	-11.15	67.41
Oz	-92.38	-11.89	43.80
OI2h	-90.74	-20.45	27.24
POO10h	-72.48	-53.50	28.96
O2	-83.49	-36.47	42.85
POO2	-88.30	-23.08	60.30
PO4	-80.00	-35.90	69.43
PO8	-72.43	-53.10	39.90
PPO10h	-53.66	-67.14	22.59
PPO6h	-64.90	-53.06	66.05
PPO2h	-74.90	-21.25	90.82
Pz	-65.64	-0.93	106.55
P2	-59.68	-31.18	102.86
P4	-55.84	-51.71	88.90
P6	-50.62	-64.43	63.98
P8	-45.09	-68.22	35.53
TPP10h	-39.09	-74.87	21.20
TPP8h	-34.55	-70.14	50.29
CPP6h	-39.64	-62.72	82.96
CPP4h	-44.38	-45.59	105.06
CPP2h	-50.92	-16.02	115.30
CP2	-32.25	-29.31	121.93
CP4	-27.13	-57.48	102.19
CP6	-22.90	-71.32	65.10
TP8	-21.04	-76.63	35.18
TTP8h	-7.45	-77.14	50.83
CCP6h	-7.43	-69.33	85.81
