name	x	y	z
Fp1	101.54	31.65	61.67
AFp1	101.15	17.32	76.14
AFz	95.94	5.30	91.28
AF3	90.29	34.51	81.99
AF7	85.78	53.84	51.31
AFF5h	81.05	51.06	75.40
AFF1h	79.79	19.53	103.97
F1	59.81	29.71	114.15
F3	62.23	51.12	96.58
F5	67.20	63.50	70.37
F7	64.20	68.97	43.84
F9	53.61	71.69	7.88
FFT9h	46.32	74.38	21.97
FFT7h	50.20	75.09	59.80
FFC5h	47.35	65.50	89.24
FFC3h	45.30	46.57	111.38
FFC1h	45.31	17.23	126.80
FCz	28.98	-0.10	134.95
FC1	27.86	34.68	128.40
FC3	30.10	61.88	106.97
FC5	34.83	77.61	75.44
FT7	36.93	78.96	39.91
FT9	36.22	76.12	1.99
FTT9h	21.08	80.29	23.57
FTT7h	17.90	83.70	57.15
FCC5h	16.86	76.99	91.09
FCC3h	12.49	53.83	121.54
FCC1h	12.40	18.58	137.01
C1	-5.33	34.02	133.62
C3	-5.78	67.23	108.02
C5	0.66	83.02	73.80
T7	6.71	84.36	37.66
TTP7h	-14.17	82.55	49.99
CCP5h	-20.21	75.68	86.63
CCP3h	-25.86	54.00	115.82
CCP1h	-26.93	18.61	132.43
CP1	-43.15	31.21	120.56
CP3	-39.35	60.43	98.63
CP5	-31.75	75.31	67.01
TP7	-25.91	79.34	32.89
TPP9h	-40.24	75.27	18.18
TPP7h	-41.78	73.80	47.85
CPP5h	-49.58	64.39	75.15
CPP3h	-55.44	43.97	100.09
CPP1h	-57.62	17.59	112.02
P1	-67.85	26.13	97.27
P3	-64.08	48.97	81.44
P5	-60.45	63.15	56.05
P7	-53.09	67.79	31.95
PPO5h	-73.66	47.92	58.72
PPO1h	-78.81	17.13	83.06
POz	-84.96	-4.48	66.88
PO3	-82.43	31.09	60.73
PO7	-74.33	45.47	34.28
PPO9h	-63.49	62.05	16.22
POO9h	-78.93	44.73	23.42
O1	-86.19	28.13	37.83
POO1	-89.45	15.16	52.08
OI1h	-90.88	11.93	19.87
Iz	-88.87	-2.77	0.82
Cz	-7.08	-7.90	138.73
C2	-7.09	-36.98	131.41
C4	-1.82	-70.81	106.41
C6	4.40	-84.48	69.60
T8	4.82	-85.86	34.47
FTT10h	21.27	-79.76	17.13
FTT8h	21.20	-83.75	52.97
FCC6h	17.92	-79.12	89.50
FCC4h	14.58	-57.79	118.57
FCC2h	11.27	-23.18	135.80
FC2	29.38	-37.37	126.50
FC4	31.50	-65.39	103.67
FC6	37.43	-79.34	69.68
FT8	34.88	-79.28	34.44
FT10	37.22	-76.10	-0.29
FFT10h	49.97	-72.09	19.97
FFT8h	52.24	-75.71	56.13
FFC6h	49.75	-70.41	83.38
FFC4h	47.75	-48.34	111.38
FFC2h	47.44	-16.22	126.26
Fz	60.95	-0.28	121.17
F2	65.24	-28.20	113.88
F4	63.30	-56.04	94.57
F6	68.48	-65.30	68.99
F8	66.00	-68.42	40.97
F10	55.82	-70.44	4.54
AFF6h	82.46	-52.46	73.98
AFF2h	79.67	-19.88	106.09
AF4	92.98	-36.13	79.94
AF8	87.83	-54.45	52.36
FP2	101.75	-33.99	61.66
AFp2	101.07	-20.17	77.03
Oz	-90.74	-4.13	36.04
OI2h	-90.42	-12.71	21.56
POO10h	-80.84	-43.89	22.86
O2	-85.75	-29.98	33.57
POO2	-89.47	-12.47	49.43
PO4	-82.70	-29.50	58.55
PO8	-74.21	-49.28	33.94
PPO10h	-60.24	-65.38	15.49
PPO6h	-70.11	-49.97	53.57
PPO2h	-78.72	-18.97	80.39
Pz	-67.70	-1.47	101.14
P2	-65.50	-30.13	97.71
P4	-61.53	-53.59	77.16
P6	-56.65	-64.61	53.93
P8	-53.49	-69.16	30.95
TPP10h	-36.43	-72.54	6.68
TPP8h	-40.93	-74.06	44.35
CPP6h	-47.89	-66.96	72.64
CPP4h	-50.26	-47.99	101.55
CPP2h	-57.51	-21.41	111.54
CP2	-44.77	-34.79	116.44
CP4	-34.28	-66.06	95.23
CP6	-30.60	-77.15	63.36
TP8	-28.27	-79.45	31.19
