name	x	y	z
Fp1	117.49	28.14	51.32
AFp1	120.25	15.39	67.71
AFz	115.51	3.1	85.81
AF3	110.13	29.55	74.65
AF7	101.89	48.23	43.54
AFF5h	98.45	47.55	70.33
AFF1h	103.83	18.97	100.32
F1	87.89	25.53	115.14
F3	83.86	47.61	94.3
F5	81.99	61.07	69.95
F7	76.89	68	41.34
F9	65.32	71.13	8.54
FFT9h	62.02	73.73	28.37
FFT7h	70.28	73	58.21
FFC5h	69.89	60.42	90.35
FFC3h	72.81	42.47	113.69
FFC1h	71.85	14.78	129.51
FCz	56.5	1.98	138.26
FC1	53.15	31.61	130.74
FC3	54.34	59.9	106.98
FC5	50.92	78.15	78.31
FT7	50.29	80.68	45.05
FT9	47.89	78.79	8.63
FTT9h	37.2	83.66	27.1
FTT7h	36.49	84.66	61.19
FCC5h	37.13	73.59	97.17
FCC3h	40.1	49.13	125.33
FCC1h	38.24	18.93	141.34
C1	19.92	33.2	141.04
C3	22.47	64.64	115.99
C5	21.29	84.06	82.12
T7	21.48	86.22	42.56
TTP7h	0.72	86.76	59.23
CCP5h	2.54	78.58	95.49
CCP3h	2.12	55.23	127.73
CCP1h	-3.88	21.72	144.3
CP1	-22.89	35.66	135.33
CP3	-17.89	65.09	112.45
CP5	-15.77	80.9	78.83
TP7	-14.34	85.63	46.16
TPP9h	-31.89	81.13	34.25
TPP7h	-30.44	78.46	65.81
CPP5h	-30.02	69.57	97.21
CPP3h	-35.77	49.18	118.79
CPP1h	-38.58	23.55	130.78
P1	-51.06	32.08	118.63
P3	-47.1	55.95	103.21
P5	-45.15	69.19	78.91
P7	-45.98	75.38	47.88
PPO5h	-58.8	60.17	80.15
PPO1h	-65.65	22.83	105.1
POz	-75.57	6.13	95.17
PO3	-74.34	32.97	85.64
PO7	-66.43	61.1	56.87
PPO9h	-51.81	73.36	34.17
POO9h	-80.73	41.34	42.42
O1	-85.25	29.64	57.25
POO1	-82.38	20.47	74.62
OI1h	-91.5	18.2	38.97
Iz	-93.01	5.89	20.68
Cz	15.16	-5.33	149.5
C2	16.43	-34.72	141.43
C4	14.01	-67.01	116.67
C6	11.51	-85.45	82.32
T8	12.27	-88.97	43.82
FTT10h	29.77	-86.02	29.32
FTT8h	26.06	-88.21	60.82
FCC6h	31.92	-77.07	97.36
FCC4h	31.34	-54.07	125.81
FCC2h	33.78	-20.34	142.92
FC2	54.13	-37.3	130.41
FC4	48.17	-64.58	108.89
FC6	46.36	-82.65	76.93
FT8	39.44	-87.13	45.43
FT10	42.16	-82.19	9.85
FFT10h	52.21	-80.8	24.42
FFT8h	57.37	-82.45	55.97
FFC6h	62.92	-72.62	85.25
FFC4h	67.26	-49.5	115.85
FFC2h	73.11	-19.06	129.54
Fz	89.35	-6.01	121.28
F2	87.7	-31.21	115.52
F4	82.27	-57.63	91.53
F6	78.44	-68.45	68.7
F8	68.24	-75.41	37.36
F10	59.57	-77.01	4.56
AFF6h	92.71	-58.35	69.35
AFF2h	102.44	-25.02	105.33
AF4	108.63	-40.41	75.69
AF8	95.33	-59.55	39.63
FP2	114.36	-36.91	49.73
AFp2	118.16	-24.87	64.84
Oz	-91.13	3.27	57.17
OI2h	-90.62	-12.17	42.44
POO10h	-82.17	-41	44.9
O2	-87.24	-23.67	59.25
POO2	-85.27	-14.59	75.15
PO4	-76.41	-25.38	87.29
PO8	-75.46	-46.21	56.29
PPO10h	-62.67	-64.41	34.54
PPO6h	-65.51	-50.82	78.81
PPO2h	-66.43	-18.03	102.79
Pz	-51.44	0.84	123.4
P2	-51.45	-29.17	115.79
P4	-54.25	-49.13	98.78
P6	-52.59	-63.84	76.32
P8	-49.31	-70.84	46.92
TPP10h	-36.69	-77.77	33.36
TPP8h	-37.46	-75.72	63.35
CPP6h	-39.82	-65.31	92.28
CPP4h	-38.55	-44.64	119.1
CPP2h	-41.16	-16.01	130.6
CP2	-21.47	-32.99	137.32
CP4	-23.82	-61.75	112.24
CP6	-24.17	-78.76	76.95
TP8	-19.98	-84.09	43.98
TTP8h	-6.86	-86.68	61.43
CCP6h	-4.56	-77.06	96.06
CCP4h	-8.85	-53.91	126.54
CCP2h	-1.14	-21.51	145.67
N-Fp1	n/a	n/a	n/a
N-AFp1	n/a	n/a	n/a
N-AFz	n/a	n/a	n/a
N-AF3	n/a	n/a	n/a
N-AF7	n/a	n/a	n/a
N-AFF5h	n/a	n/a	n/a
N-AFF1h	n/a	n/a	n/a
N-F1	n/a	n/a	n/a
N-F3	n/a	n/a	n/a
N-F5	n/a	n/a	n/a
N-F7	n/a	n/a	n/a
N-F9	n/a	n/a	n/a
N-FFT9h	n/a	n/a	n/a
N-FFT7h	n/a	n/a	n/a
N-FFC5h	n/a	n/a	n/a
N-FFC3h	n/a	n/a	n/a
N-FFC1h	n/a	n/a	n/a
N-FCz	n/a	n/a	n/a
N-FC1	n/a	n/a	n/a
N-FC3	n/a	n/a	n/a
N-FC5	n/a	n/a	n/a
N-FT7	n/a	n/a	n/a
N-FT9	n/a	n/a	n/a
N-FTT9h	n/a	n/a	n/a
N-FTT7h	n/a	n/a	n/a
N-FCC5h	n/a	n/a	n/a
N-FCC3h	n/a	n/a	n/a
N-FCC1h	n/a	n/a	n/a
N-C1	n/a	n/a	n/a
N-C3	n/a	n/a	n/a
N-C5	n/a	n/a	n/a
N-T7	n/a	n/a	n/a
N-TTP7h	n/a	n/a	n/a
N-CCP5h	n/a	n/a	n/a
N-CCP3h	n/a	n/a	n/a
N-CCP1h	n/a	n/a	n/a
N-CP1	n/a	n/a	n/a
N-CP3	n/a	n/a	n/a
N-CP5	n/a	n/a	n/a
N-TP7	n/a	n/a	n/a
N-TPP9h	n/a	n/a	n/a
N-TPP7h	n/a	n/a	n/a
N-CPP5h	n/a	n/a	n/a
N-CPP3h	n/a	n/a	n/a
N-CPP1h	n/a	n/a	n/a
N-P1	n/a	n/a	n/a
N-P3	n/a	n/a	n/a
N-P5	n/a	n/a	n/a
N-P7	n/a	n/a	n/a
N-PPO5h	n/a	n/a	n/a
N-PPO1h	n/a	n/a	n/a
N-POz	n/a	n/a	n/a
N-PO3	n/a	n/a	n/a
N-PO7	n/a	n/a	n/a
N-PPO9h	n/a	n/a	n/a
N-POO9h	n/a	n/a	n/a
N-O1	n/a	n/a	n/a
N-POO1	n/a	n/a	n/a
N-OI1h	n/a	n/a	n/a
N-Iz	n/a	n/a	n/a
N-Cz	n/a	n/a	n/a
N-C2	n/a	n/a	n/a
N-C4	n/a	n/a	n/a
N-C6	n/a	n/a	n/a
N-T8	n/a	n/a	n/a
N-FTT10h	n/a	n/a	n/a
N-FTT8h	n/a	n/a	n/a
N-FCC6h	n/a	n/a	n/a
N-FCC4h	n/a	n/a	n/a
N-FCC2h	n/a	n/a	n/a
N-FC2	n/a	n/a	n/a
N-FC4	n/a	n/a	n/a
N-FC6	n/a	n/a	n/a
N-FT8	n/a	n/a	n/a
N-FT10	n/a	n/a	n/a
N-FFT10h	n/a	n/a	n/a
N-FFT8h	n/a	n/a	n/a
N-FFC6h	n/a	n/a	n/a
N-FFC4h	n/a	n/a	n/a
N-FFC2h	n/a	n/a	n/a
N-Fz	n/a	n/a	n/a
N-F2	n/a	n/a	n/a
N-F4	n/a	n/a	n/a
N-F6	n/a	n/a	n/a
N-F8	n/a	n/a	n/a
N-F10	n/a	n/a	n/a
N-AFF6h	n/a	n/a	n/a
N-AFF2h	n/a	n/a	n/a
N-AF4	n/a	n/a	n/a
N-AF8	n/a	n/a	n/a
N-FP2	n/a	n/a	n/a
N-AFp2	n/a	n/a	n/a
N-Oz	n/a	n/a	n/a
N-OI2h	n/a	n/a	n/a
N-POO10h	n/a	n/a	n/a
N-O2	n/a	n/a	n/a
N-POO2	n/a	n/a	n/a
N-PO4	n/a	n/a	n/a
N-PO8	n/a	n/a	n/a
N-PPO10h	n/a	n/a	n/a
N-PPO6h	n/a	n/a	n/a
N-PPO2h	n/a	n/a	n/a
N-Pz	n/a	n/a	n/a
N-P2	n/a	n/a	n/a
N-P4	n/a	n/a	n/a
N-P6	n/a	n/a	n/a
N-P8	n/a	n/a	n/a
N-TPP10h	n/a	n/a	n/a
