name	x	y	z
Fp1	97.27	34.19	60.22
AFp1	95.72	19.64	76.59
AFz	88.12	6.09	92.11
AF3	81.69	37.34	83.74
AF7	79.94	57.39	51.75
AFF5h	71.97	53.37	74.66
AFF1h	70.68	25.13	102.58
F1	55.17	32.24	110.76
F3	52.4	52.8	94.9
F5	58.95	63.76	70.6
F7	58.8	70.21	45.24
F9	47.73	77.1	7.49
FFT9h	41.28	78.17	24.26
FFT7h	40.7	75.55	56.61
FFC5h	39.81	63.85	88.88
FFC3h	39.4	46.67	110.2
FFC1h	39.76	19.83	124.31
FCz	23.92	5.6	133.36
FC1	24.39	36.07	125.1
FC3	25.38	60.31	103.85
FC5	25.12	76.28	71.72
FT7	28.98	80.61	42.28
FT9	32.58	77.83	7.78
FTT9h	14.23	83.19	26.2
FTT7h	9.63	81.97	54.77
FCC5h	6.98	75.56	88.09
FCC3h	6.89	55.9	116.26
FCC1h	7.63	23.23	135.99
C1	-12.5	37.54	133.03
C3	-11.95	66.48	105.02
C5	-9.2	79.98	70.94
T7	-1.67	83.41	40.17
TTP7h	-21.83	80.88	50.63
CCP5h	-27.15	73.52	86.62
CCP3h	-31.47	55.72	114.8
CCP1h	-34.58	22.43	133.56
CP1	-51.85	33.34	122.86
CP3	-46.23	61.78	98.1
CP5	-40.54	75.01	63.35
TP7	-32.05	78.63	38.16
TPP9h	-46.83	73.98	17.4
TPP7h	-50.64	72.03	50.02
CPP5h	-57.76	64.72	75.37
CPP3h	-64.86	46.77	102.31
CPP1h	-65.18	18.58	117.09
P1	-77.06	31.05	100.21
P3	-75.22	50.21	81.85
P5	-66.51	63.19	59.98
P7	-60.08	66.3	34.29
PPO5h	-82.44	51.52	57.7
PPO1h	-88.07	20.15	87.31
POz	-96.16	1.55	70.35
PO3	-94.32	30.87	66.78
PO7	-82.33	53.02	37.64
PPO9h	-67.06	63.24	20.78
POO9h	-89.87	42.25	22.55
O1	-98.42	26	41.07
POO1	-99.13	18.42	55.01
OI1h	-97.84	7.66	20.57
Iz	-96.92	0.43	2.07
Cz	-12.73	-4.77	141.2
C2	-11.98	-30.07	134.08
C4	-8.44	-63.4	105.01
C6	-1.56	-78.28	68.78
T8	2.18	-81.89	38.28
FTT10h	18.9	-81.28	22.36
FTT8h	10.28	-78.19	54.68
FCC6h	10.41	-72.24	88.1
