name	x	y	z
Fp1	101.22	35.54	54.21
AFp1	101.78	21.71	71.29
AFz	98.68	7.06	85.33
AF3	87.87	42.14	74.05
AF7	81.06	60.27	46.16
AFF5h	77.37	57.36	67.93
AFF1h	81.72	26.82	95.75
F1	61.92	35.02	107.8
F3	58.62	56.19	87.52
F5	64.31	63.87	63.27
F7	58.8	71.59	33.59
F9	49.86	74.12	2.73
FFT9h	43.63	74.97	12.23
FFT7h	47.44	75.11	50.04
FFC5h	43.92	66.87	85.2
FFC3h	43.57	51.39	104.82
FFC1h	44.98	22.99	124.1
FCz	33.36	2.35	133.72
FC1	26.31	38	123.56
FC3	29.91	64.53	98.47
FC5	31.06	78.27	65.1
FT7	34.88	77.44	31.07
FT9	32.7	78.35	-7
FTT9h	18.31	80.2	14.08
FTT7h	12.87	82.14	49.07
FCC5h	10.43	76.47	82.07
FCC3h	10.37	57.56	113.4
FCC1h	12.23	25.55	132.29
C1	-9.96	35.11	127.8
C3	-7.67	68.23	99.12
C5	-1.23	81.38	62.6
T7	3.2	80.96	28.95
TTP7h	-13.25	81.71	40.95
CCP5h	-20.12	74.73	76.08
CCP3h	-26.64	57.71	107.24
CCP1h	-28.26	23.46	128.33
CP1	-48.3	34.5	115.47
CP3	-40.51	61.81	88.26
CP5	-34.29	73.52	54.92
TP7	-24.19	78.9	25.58
TPP9h	-34.87	73.66	12.1
TPP7h	-40.82	74.49	39.03
CPP5h	-51.66	62.67	68.29
CPP3h	-58.66	45.89	94.68
CPP1h	-63.88	19.35	109.83
P1	-76.67	27.49	93.62
P3	-67.34	49.78	74.24
P5	-57.53	63.57	46.56
P7	-45.57	69.49	21.37
PPO5h	-72.95	49.57	53.16
PPO1h	-86.97	16.76	79.52
POz	-91.85	-5.37	62.07
PO3	-88.84	25.76	56
PO7	-73.44	50.69	25.39
PPO9h	-63.26	60.88	7.51
O1	-90.73	20.87	26.68
POO1	-91.42	14.3	45.79
O9	-81.79	19.02	-11.32
OI1h	-87.75	8.07	6.73
Iz	-84.92	-1.94	-9.23
Cz	-9.14	-6.8	138.54
C2	-5.71	-36.4	130.71
C4	-0.05	-69.7	102.96
C6	4.59	-83.37	66.22
T8	4	-83.18	30.86
FTT10h	29.83	-80.31	13.35
FTT8h	25.65	-83.41	49.09
FCC6h	18.28	-76.76	87.79
FCC4h	16.2	-57.41	115.14
FCC2h	11.57	-22.26	135.88
FC2	33.81	-35.63	126.19
FC4	33.6	-64.42	100.98
FC6	39.87	-77.43	65.74
FT8	37.34	-78.7	32.32
FT10	39.32	-76.01	-2.56
FFT10h	47.87	-72.73	15.19
FFT8h	51.8	-75.49	49.32
FFC6h	51.94	-67.58	80.26
FFC4h	49.41	-45.55	109.87
FFC2h	49.28	-17.51	125.64
Fz	64.58	-3.25	119.6
F2	66.92	-27.6	111.57
F4	66.55	-50.92	91.04
F6	64.96	-63.6	66.21
F8	64.84	-67.19	34.29
F10	61.3	-68.31	2.03
AFF6h	80.72	-52.39	69.71
AFF2h	82.02	-19.34	101.95
AF4	94.15	-28.66	79.89
AF8	88	-52.05	46.13
FP2	104.11	-28.11	56.96
AFp2	103.65	-15.06	73.01
Oz	-93.67	-6.71	28.32
OI2h	-89.52	-18.12	17.41
POO10h	-78.59	-44.64	15.61
O2	-88.95	-32.24	30.45
POO2	-91.95	-23.36	45.16
PO4	-89.05	-35.82	54.88
PO8	-73.97	-49.95	30.24
PPO10h	-55.55	-71.66	6.99
PPO6h	-75.63	-52.95	52.4
PPO2h	-85.98	-26.52	77.62
Pz	-61.14	-25.14	112.16
P2	-72.74	-34.37	94.81
P4	-68.36	-53.91	77.91
P6	-57.85	-68.47	53.33
P8	-49.71	-72.8	25.66
TPP10h	-38.44	-79.35	12.95
TPP8h	-40.65	-76.43	42.14
CPP6h	-49.39	-69.23	71.28
CPP4h	-53.65	-51.73	100.41
CPP2h	-77.49	-6.09	97.97
CP2	-45.46	-36.7	118.92
CP4	-36.7	-65.92	94.27
CP6	-30.8	-77.37	57.86
TP8	-24.35	-82.33	25.07
TTP8h	-8.12	-86.17	44.7
CCP6h	-15.42	-77.18	81.66
CCP4h	-21.92	-58	114.1
CCP2h	-24.44	-24.88	133.38
N-Fp1	n/a	n/a	n/a
N-AFp1	n/a	n/a	n/a
N-AFz	n/a	n/a	n/a
N-AF3	n/a	n/a	n/a
N-AF7	n/a	n/a	n/a
N-AFF5h	n/a	n/a	n/a
N-AFF1h	n/a	n/a	n/a
N-F1	n/a	n/a	n/a
N-F3	n/a	n/a	n/a
N-F5	n/a	n/a	n/a
N-F7	n/a	n/a	n/a
N-F9	n/a	n/a	n/a
N-FFT9h	n/a	n/a	n/a
N-FFT7h	n/a	n/a	n/a
N-FFC5h	n/a	n/a	n/a
N-FFC3h	n/a	n/a	n/a
N-FFC1h	n/a	n/a	n/a
N-FCz	n/a	n/a	n/a
N-FC1	n/a	n/a	n/a
N-FC3	n/a	n/a	n/a
N-FC5	n/a	n/a	n/a
N-FT7	n/a	n/a	n/a
N-FT9	n/a	n/a	n/a
N-FTT9h	n/a	n/a	n/a
N-FTT7h	n/a	n/a	n/a
N-FCC5h	n/a	n/a	n/a
N-FCC3h	n/a	n/a	n/a
N-FCC1h	n/a	n/a	n/a
N-C1	n/a	n/a	n/a
N-C3	n/a	n/a	n/a
N-C5	n/a	n/a	n/a
N-T7	n/a	n/a	n/a
