name	x	y	z
Fp1	94.29	32.55	67.86
AFp1	92.22	18.36	78.43
AFz	85.48	4.95	91.52
AF3	83.30	31.07	81.24
AF7	80.56	53.49	52.32
AFF5h	72.04	49.58	71.74
AFF1h	69.60	18.86	101.33
F1	51.35	25.44	109.57
F3	49.96	46.03	96.04
F5	58.89	61.02	70.14
F7	59.25	68.44	44.26
F9	54.60	75.58	7.66
FFT9h	48.28	72.54	23.69
FFT7h	48.54	71.35	57.22
FFC5h	39.26	61.27	85.55
FFC3h	35.29	41.84	106.89
FFC1h	34.11	15.13	122.24
FCz	15.43	1.91	132.29
FC1	16.77	31.56	122.34
FC3	21.46	58.11	98.10
FC5	26.44	73.48	69.00
FT7	31.93	76.92	34.98
FT9	39.77	76.54	1.51
FTT9h	26.01	76.56	20.02
FTT7h	15.51	77.70	48.39
FCC5h	9.29	69.01	85.80
FCC3h	0.67	48.72	112.91
FCC1h	-2.23	20.34	131.76
C1	-19.48	35.28	125.01
C3	-11.93	62.35	96.03
C5	-5.88	76.46	65.67
T7	6.33	77.63	30.00
TTP7h	-19.81	77.84	40.90
CCP5h	-27.50	69.63	75.42
CCP3h	-35.28	49.74	107.18
CCP1h	-43.11	22.30	123.11
CP1	-57.77	32.64	109.75
CP3	-48.75	58.46	85.82
CP5	-36.65	71.65	56.08
TP7	-33.02	75.69	25.20
TPP9h	-38.67	71.48	-0.28
TPP7h	-49.08	71.74	34.84
CPP5h	-56.09	62.70	66.08
CPP3h	-67.58	45.80	91.02
CPP1h	-77.60	18.59	102.58
P1	-85.81	29.62	86.78
P3	-74.96	51.28	67.68
P5	-64.69	64.22	47.60
P7	-55.24	67.47	20.54
PPO5h	-81.62	50.47	42.10
PPO1h	-96.92	17.43	72.50
POz	-102.53	0.79	53.44
PO3	-94.13	34.03	50.93
PO7	-79.83	47.17	18.91
PPO9h	-61.75	64.96	2.66
POO9h	-84.44	40.80	2.62
O1	-96.51	19.83	16.88
POO1	-102.07	14.69	37.45
OI1h	-94.83	13.69	2.61
Iz	-91.75	-4.69	-9.63
Cz	-23.14	-5.74	133.11
C2	-23.01	-35.45	126.00
C4	-15.72	-65.81	100.06
C6	-10.77	-79.87	64.91
T8	-2.49	-83.05	32.08
FTT10h	16.35	-79.03	21.45
FTT8h	7.78	-83.68	51.41
FCC6h	3.93	-73.91	85.83
FCC4h	-1.53	-52.48	114.76
FCC2h	-4.04	-18.21	134.09
FC2	16.36	-32.04	124.58
FC4	18.11	-62.22	100.81
FC6	22.47	-78.71	70.44
FT8	26.57	-80.83	39.03
FT10	36.08	-75.79	2.45
FFT10h	42.13	-74.12	19.82
FFT8h	41.42	-77.87	50.79
FFC6h	35.13	-68.19	85.12
FFC4h	34.39	-47.84	108.00
FFC2h	36.43	-16.49	124.13
Fz	49.21	-1.80	118.33
F2	51.62	-26.40	112.30
F4	51.16	-54.36	93.68
F6	57.13	-67.78	68.43
F8	55.49	-72.12	39.35
F10	51.13	-71.72	8.21
AFF6h	70.75	-54.77	73.12
AFF2h	67.84	-21.11	105.64
AF4	84.66	-35.99	82.09
AF8	79.72	-58.16	48.59
FP2	98.44	-32.49	66.56
AFp2	94.45	-22.88	76.30
Oz	-101.21	-4.16	18.91
OI2h	-94.96	-13.89	4.21
POO10h	-87.26	-49.00	13.75
O2	-96.96	-27.84	18.01
POO2	-101.46	-19.93	36.64
PO4	-98.01	-30.91	53.94
PO8	-83.39	-51.09	22.38
PPO10h	-65.00	-61.43	7.36
PPO6h	-83.17	-52.99	46.78
PPO2h	-94.95	-21.73	72.89
Pz	-86.14	-2.28	94.46
P2	-84.37	-32.37	88.08
P4	-79.26	-51.47	71.48
P6	-67.19	-65.66	49.32
P8	-54.74	-69.65	18.13
TPP10h	-45.61	-73.75	9.14
TPP8h	-49.36	-75.47	38.29
CPP6h	-62.99	-65.05	68.15
CPP4h	-69.70	-47.93	90.60
CPP2h	-76.11	-18.18	104.22
CP2	-56.86	-35.56	112.35
CP4	-49.11	-62.59	91.26
CP6	-40.47	-74.55	54.45
TP8	-29.74	-80.98	28.50
TTP8h	-20.61	-81.63	42.39
CCP6h	-30.69	-72.74	77.85
CCP4h	-39.66	-54.26	108.43
CCP2h	-43.24	-23.00	125.79
N-Fp1	83.92	29.44	-6.99
N-AFp1	86.19	12.24	14.19
N-AFz	80.77	-0.23	35.42
N-AF3	76.84	33.70	21.23
N-AF7	68.57	54.84	-10.59
N-AFF5h	64.04	50.80	23.09
N-AFF1h	70.76	11.44	50.35
N-F1	56.93	27.50	60.34
N-F3	53.11	50.24	42.19
N-F5	48.04	64.47	16.92
N-F7	42.47	70.26	-11.42
N-F9	41.65	70.10	-49.95
N-FFT9h	28.08	79.07	-31.25
N-FFT7h	31.30	74.50	4.85
N-FFC5h	36.43	65.24	36.14
N-FFC3h	40.76	44.41	61.69
N-FFC1h	43.66	15.42	77.68
N-FCz	27.39	-0.38	88.67
N-FC1	26.01	34.06	79.99
N-FC3	22.72	60.18	55.54
N-FC5	18.64	77.21	24.46
N-FT7	14.12	80.78	-11.13
N-FT9	14.57	84.08	-50.43
N-FTT9h	-1.85	84.13	-29.79
N-FTT7h	0.83	82.35	8.58
N-FCC5h	4.30	74.69	45.31
N-FCC3h	7.18	51.05	74.38
N-FCC1h	9.09	18.22	92.53
N-C1	-9.98	36.16	89.75
N-C3	-11.63	65.36	64.36
N-C5	-13.76	80.28	29.16
N-T7	-16.02	84.16	-9.35
N-TTP7h	-30.63	85.57	11.15
N-CCP5h	-29.73	76.41	49.22
N-CCP3h	-28.91	52.93	80.30
N-CCP1h	-28.32	18.35	98.22
N-CP1	-47.29	35.51	91.31
N-CP3	-47.01	63.56	65.62
N-CP5	-46.55	79.59	30.95
N-TP7	-46.02	84.83	-7.06
N-TPP9h	-60.76	78.16	-23.82
N-TPP7h	-60.83	76.68	12.88
N-CPP5h	-62.97	68.12	47.25
N-CPP3h	-64.69	46.91	75.30
N-CPP1h	-65.60	15.82	91.16
N-P1	-80.52	28.62	75.44
N-P3	-78.79	53.01	55.94
N-P5	-76.29	67.27	28.38
N-P7	-73.45	72.43	-2.49
N-PPO5h	-89.90	54.01	37.33
N-PPO1h	-92.61	12.05	65.51
N-POz	-102.18	-0.22	50.61
N-PO3	-100.85	36.51	37.17
N-PO7	-97.53	54.84	2.79
N-PPO9h	-87.66	64.60	-19.01
N-POO9h	-108.07	42.86	-13.15
N-O1	-112.45	29.41	8.84
N-POO1	-109.27	13.66	32.86
N-OI1h	-117.99	14.85	-6.92
N-Iz	-118.56	-0.00	-23.08
N-Cz	-9.17	-0.40	100.24
N-C2	-9.62	-37.67	88.41
N-C4	-10.90	-67.12	63.58
N-C6	-12.78	-83.46	29.21
N-T8	-15.02	-85.08	-9.49
N-FTT10h	-1.81	-84.12	-29.64
N-FTT8h	1.95	-83.89	8.50
N-FCC6h	5.34	-77.00	45.35
N-FCC4h	7.80	-51.89	73.51
N-FCC2h	9.25	-18.79	91.56
N-FC2	26.44	-34.78	78.81
N-FC4	23.72	-62.29	55.63
N-FC6	19.94	-79.53	24.44
N-FT8	15.42	-81.82	-11.33
N-FT10	14.36	-84.11	-50.54
N-FFT10h	28.51	-80.10	-31.34
N-FFT8h	32.98	-78.05	4.48
N-FFC6h	37.80	-67.13	35.30
N-FFC4h	41.62	-45.85	60.65
N-FFC2h	44.05	-17.59	77.79
N-Fz	58.51	-0.31	66.46
N-F2	57.60	-29.51	59.54
N-F4	54.30	-51.84	40.81
N-F6	49.83	-67.91	16.37
N-F8	44.42	-73.04	-12.00
N-F10	42.07	-72.11	-50.45
N-AFF6h	65.07	-52.40	22.86
N-AFF2h	71.20	-13.48	51.17
N-AF4	77.73	-35.71	21.96
N-AF8	69.66	-55.74	-10.75
N-FP2	84.90	-29.87	-7.08
N-AFp2	86.76	-13.62	15.30
N-Oz	-114.89	-0.11	14.66
N-OI2h	-118.02	-15.09	-6.93
N-POO10h	-109.13	-43.89	-13.17
N-O2	-112.16	-29.84	8.80
N-POO2	-109.11	-13.65	30.94
N-PO4	-100.85	-36.78	36.40
N-PO8	-97.63	-55.67	2.73
N-PPO10h	-87.81	-65.01	-18.95
N-PPO6h	-89.64	-54.61	37.03
N-PPO2h	-92.69	-13.92	66.96
N-Pz	-81.11	-0.32	82.61
N-P2	-80.49	-31.92	76.72
N-P4	-78.56	-55.67	56.56
N-P6	-75.90	-67.89	28.09
N-P8	-73.07	-73.06	-2.54
N-TPP10h	-60.96	-78.90	-23.80
N-TPP8h	-60.43	-78.52	12.90
N-CPP6h	-62.62	-71.10	47.33
N-CPP4h	-64.48	-50.67	76.13
N-CPP2h	-65.59	-19.42	92.41
N-CP2	-47.07	-38.38	90.69
N-CP4	-46.64	-66.61	65.58
N-CP6	-46.10	-83.32	31.21
N-TP8	-45.55	-85.55	-7.13
N-TTP8h	-29.82	-86.00	11.25
N-CCP6h	-28.99	-79.01	49.63
N-CCP4h	-28.39	-55.11	80.47
N-CCP2h	-28.15	-20.22	98.17
LISCM	n/a	n/a	n/a
LSSCM	n/a	n/a	n/a
LSTrap	n/a	n/a	n/a
LITrap	n/a	n/a	n/a
CGY-x	n/a	n/a	n/a
CGY-y	n/a	n/a	n/a
CGY-z	n/a	n/a	n/a
RITrap	n/a	n/a	n/a
RISCM	n/a	n/a	n/a
RSSCM	n/a	n/a	n/a
RSTrap	n/a	n/a	n/a
CWR-x	n/a	n/a	n/a
CWR-y	n/a	n/a	n/a
CWR-z	n/a	n/a	n/a
NGY-x	n/a	n/a	n/a
NGY-y	n/a	n/a	n/a
NGY-z	n/a	n/a	n/a
NWR-x	n/a	n/a	n/a
NWR-y	n/a	n/a	n/a
NWR-z	n/a	n/a	n/a
SyncPulse(uV)	n/a	n/a	n/a
Participant_Backpack_Acc_X(g)	n/a	n/a	n/a
Participant_Paddle_Acc_X(g)	n/a	n/a	n/a
BallMachine_Acc_X(g)	n/a	n/a	n/a
Researcher_Paddle_Acc_X(g)	n/a	n/a	n/a
Net_Acc_X(g)	n/a	n/a	n/a
Table_OtherSide_Acc_X(g)	n/a	n/a	n/a
Table_ParticipantSide_Acc_X(g)	n/a	n/a	n/a
Participant_Backpack_Acc_Y(g)	n/a	n/a	n/a
Participant_Paddle_Acc_Y(g)	n/a	n/a	n/a
BallMachine_Acc_Y(g)	n/a	n/a	n/a
Researcher_Paddle_Acc_Y(g)	n/a	n/a	n/a
Net_Acc_Y(g)	n/a	n/a	n/a
Table_OtherSide_Acc_Y(g)	n/a	n/a	n/a
Table_ParticipantSide_Acc_Y(g)	n/a	n/a	n/a
Participant_Backpack_Acc_Z(g)	n/a	n/a	n/a
Participant_Paddle_Acc_Z(g)	n/a	n/a	n/a
BallMachine_Acc_Z(g)	n/a	n/a	n/a
Researcher_Paddle_Acc_Z(g)	n/a	n/a	n/a
Net_Acc_Z(g)	n/a	n/a	n/a
Table_OtherSide_Acc_Z(g)	n/a	n/a	n/a
Table_ParticipantSide_Acc_Z(g)	n/a	n/a	n/a
Imu_1_ImuGyro :X(D/s):	n/a	n/a	n/a
Imu_2_ImuGyro :X(D/s):	n/a	n/a	n/a
Imu_4_ImuGyro :X(D/s):	n/a	n/a	n/a
Imu_1_ImuGyro :Y(D/s):	n/a	n/a	n/a
Imu_2_ImuGyro :Y(D/s):	n/a	n/a	n/a
Imu_4_ImuGyro :Y(D/s):	n/a	n/a	n/a
Imu_1_ImuGyro :Z(D/s):	n/a	n/a	n/a
Imu_2_ImuGyro :Z(D/s):	n/a	n/a	n/a
Imu_4_ImuGyro :Z(D/s):	n/a	n/a	n/a
Imu_1_ImuMag :X(uT):	n/a	n/a	n/a
Imu_2_ImuMag :X(uT):	n/a	n/a	n/a
Imu_4_ImuMag :X(uT):	n/a	n/a	n/a
Imu_1_ImuMag :Y(uT):	n/a	n/a	n/a
Imu_2_ImuMag :Y(uT):	n/a	n/a	n/a
Imu_4_ImuMag :Y(uT):	n/a	n/a	n/a
Imu_1_ImuMag :Z(uT):	n/a	n/a	n/a
Imu_2_ImuMag :Z(uT):	n/a	n/a	n/a
Imu_4_ImuMag :Z(uT):	n/a	n/a	n/a
Imu_1 :W():	n/a	n/a	n/a
Imu_2 :W():	n/a	n/a	n/a
Imu_4 :W():	n/a	n/a	n/a
Imu_1 :X():	n/a	n/a	n/a
Imu_2 :X():	n/a	n/a	n/a
Imu_4 :X():	n/a	n/a	n/a
Imu_1 :Y():	n/a	n/a	n/a
Imu_2 :Y():	n/a	n/a	n/a
