name	x	y	z
Fp1	97.63	31.28	72.12
AFp1	93.67	18.30	88.15
AFz	85.82	5.02	97.09
AF3	84.98	32.62	91.78
AF7	79.10	53.15	64.57
AFF5h	73.15	49.42	86.38
AFF1h	71.21	17.45	108.62
F1	51.26	26.81	121.90
F3	52.66	52.12	105.36
F5	57.73	60.58	80.21
F7	55.16	67.73	57.96
F9	44.30	72.97	20.78
FFT9h	34.79	78.74	32.61
FFT7h	40.09	72.87	71.02
FFC5h	37.22	61.41	98.24
FFC3h	37.49	44.59	123.96
FFC1h	34.84	15.74	131.31
FCz	21.12	-1.77	136.39
FC1	20.81	26.71	138.06
FC3	19.66	55.96	114.26
FC5	22.83	73.49	86.35
FT7	27.83	83.77	54.40
FT9	26.45	78.74	17.37
FTT9h	11.00	84.07	37.04
FTT7h	7.26	86.12	71.86
FCC5h	2.40	68.99	100.93
FCC3h	2.27	53.02	127.26
FCC1h	2.56	15.50	140.77
C1	-17.74	26.67	142.09
C3	-12.54	59.06	116.58
C5	-11.43	78.63	87.87
T7	-6.17	87.62	50.21
TTP7h	-29.01	84.40	68.18
CCP5h	-31.31	67.83	97.27
CCP3h	-37.16	52.60	126.39
CCP1h	-33.04	14.01	137.46
CP1	-50.81	26.14	131.02
CP3	-48.53	59.11	112.50
CP5	-45.50	71.67	77.37
TP7	-40.66	84.22	50.01
TPP9h	-58.31	78.74	35.02
TPP7h	-55.82	73.42	62.49
CPP5h	-62.86	63.93	90.94
CPP3h	-67.24	41.26	115.37
CPP1h	-62.76	9.30	122.34
P1	-76.73	22.43	109.34
P3	-80.16	45.62	92.20
P5	-73.97	63.49	72.42
P7	-66.86	68.87	45.88
PPO5h	-87.88	45.55	69.75
PPO1h	-88.99	7.79	93.90
POz	-96.53	-7.27	78.10
PO3	-96.16	27.60	76.85
PO7	-92.71	46.17	48.70
PPO9h	-78.48	61.01	28.71
POO9h	-97.85	40.37	34.15
O1	-104.65	17.12	47.02
POO1	-99.04	9.07	67.36
OI1h	-105.53	5.83	34.14
Iz	-104.13	-5.14	21.19
Cz	-13.63	-9.27	141.65
C2	-11.33	-37.92	143.15
C4	-4.46	-64.86	110.94
C6	-3.87	-83.66	80.26
T8	-6.62	-84.25	42.77
FTT10h	13.42	-80.35	27.39
FTT8h	11.79	-84.66	59.60
FCC6h	8.95	-73.85	90.98
FCC4h	5.90	-57.12	122.43
FCC2h	3.33	-21.62	139.94
FC2	24.16	-35.15	136.87
FC4	26.74	-59.86	107.16
FC6	30.28	-76.61	77.72
FT8	31.93	-78.93	44.03
FT10	33.46	-75.55	14.35
FFT10h	38.32	-75.10	31.85
FFT8h	47.11	-73.10	66.58
FFC6h	45.76	-64.95	88.27
FFC4h	43.65	-47.14	119.71
FFC2h	38.08	-20.92	129.99
Fz	49.22	-1.92	124.30
F2	53.18	-32.35	122.16
F4	55.87	-51.79	103.61
F6	59.84	-60.77	81.08
F8	60.66	-68.67	49.92
F10	49.68	-73.71	20.19
AFF6h	73.78	-52.24	81.45
AFF2h	74.45	-22.72	107.68
AF4	87.23	-33.33	92.15
AF8	80.65	-53.39	59.39
FP2	99.08	-31.83	67.95
AFp2	95.58	-21.12	84.84
Oz	-105.18	-5.11	46.66
OI2h	-106.42	-20.89	33.10
POO10h	-97.70	-48.36	28.89
O2	-98.92	-38.39	50.95
POO2	-102.72	-17.71	60.03
PO4	-98.54	-37.90	72.80
PO8	-86.67	-60.77	46.41
PPO10h	-75.56	-70.34	27.81
PPO6h	-83.88	-60.86	67.92
PPO2h	-90.54	-22.11	90.67
Pz	-77.06	-6.21	109.39
P2	-80.18	-36.74	111.83
P4	-74.76	-57.87	93.94
P6	-65.77	-69.74	67.77
P8	-63.04	-76.89	43.47
TPP10h	-47.76	-83.13	25.57
TPP8h	-53.24	-78.95	57.93
CPP6h	-55.13	-67.14	86.95
CPP4h	-62.57	-54.09	112.28
CPP2h	-65.04	-23.19	123.49
CP2	-51.49	-38.39	132.34
CP4	-42.57	-64.26	101.44
CP6	-40.35	-80.04	73.49
TP8	-29.05	-86.06	40.52
TTP8h	-18.85	-87.13	56.09
CCP6h	-25.37	-75.63	93.64
CCP4h	-25.22	-61.25	119.66
CCP2h	-34.03	-26.62	138.18
N-Fp1	83.92	29.44	-6.99
N-AFp1	86.19	12.24	14.19
N-AFz	80.77	-0.23	35.42
N-AF3	76.84	33.70	21.23
N-AF7	68.57	54.84	-10.59
N-AFF5h	64.04	50.80	23.09
N-AFF1h	70.76	11.44	50.35
N-F1	56.93	27.50	60.34
N-F3	53.11	50.24	42.19
N-F5	48.04	64.47	16.92
N-F7	42.47	70.26	-11.42
N-F9	41.65	70.10	-49.95
N-FFT9h	28.08	79.07	-31.25
N-FFT7h	31.30	74.50	4.85
N-FFC5h	36.43	65.24	36.14
N-FFC3h	40.76	44.41	61.69
N-FFC1h	43.66	15.42	77.68
N-FCz	27.39	-0.38	88.67
N-FC1	26.01	34.06	79.99
N-FC3	22.72	60.18	55.54
N-FC5	18.64	77.21	24.46
N-FT7	14.12	80.78	-11.13
N-FT9	14.57	84.08	-50.43
N-FTT9h	-1.85	84.13	-29.79
N-FTT7h	0.83	82.35	8.58
N-FCC5h	4.30	74.69	45.31
N-FCC3h	7.18	51.05	74.38
N-FCC1h	9.09	18.22	92.53
N-C1	-9.98	36.16	89.75
N-C3	-11.63	65.36	64.36
N-C5	-13.76	80.28	29.16
N-T7	-16.02	84.16	-9.35
N-TTP7h	-30.63	85.57	11.15
N-CCP5h	-29.73	76.41	49.22
N-CCP3h	-28.91	52.93	80.30
N-CCP1h	-28.32	18.35	98.22
N-CP1	-47.29	35.51	91.31
N-CP3	-47.01	63.56	65.62
N-CP5	-46.55	79.59	30.95
N-TP7	-46.02	84.83	-7.06
N-TPP9h	-60.76	78.16	-23.82
N-TPP7h	-60.83	76.68	12.88
N-CPP5h	-62.97	68.12	47.25
N-CPP3h	-64.69	46.91	75.30
N-CPP1h	-65.60	15.82	91.16
N-P1	-80.52	28.62	75.44
N-P3	-78.79	53.01	55.94
N-P5	-76.29	67.27	28.38
N-P7	-73.45	72.43	-2.49
N-PPO5h	-89.90	54.01	37.33
N-PPO1h	-92.61	12.05	65.51
N-POz	-102.18	-0.22	50.61
N-PO3	-100.85	36.51	37.17
N-PO7	-97.53	54.84	2.79
N-PPO9h	-87.66	64.60	-19.01
N-POO9h	-108.07	42.86	-13.15
N-O1	-112.45	29.41	8.84
N-POO1	-109.27	13.66	32.86
N-OI1h	-117.99	14.85	-6.92
N-Iz	-118.56	-0.00	-23.08
N-Cz	-9.17	-0.40	100.24
N-C2	-9.62	-37.67	88.41
N-C4	-10.90	-67.12	63.58
N-C6	-12.78	-83.46	29.21
N-T8	-15.02	-85.08	-9.49
N-FTT10h	-1.81	-84.12	-29.64
N-FTT8h	1.95	-83.89	8.50
N-FCC6h	5.34	-77.00	45.35
N-FCC4h	7.80	-51.89	73.51
N-FCC2h	9.25	-18.79	91.56
N-FC2	26.44	-34.78	78.81
N-FC4	23.72	-62.29	55.63
N-FC6	19.94	-79.53	24.44
N-FT8	15.42	-81.82	-11.33
N-FT10	14.36	-84.11	-50.54
N-FFT10h	28.51	-80.10	-31.34
N-FFT8h	32.98	-78.05	4.48
N-FFC6h	37.80	-67.13	35.30
N-FFC4h	41.62	-45.85	60.65
N-FFC2h	44.05	-17.59	77.79
N-Fz	58.51	-0.31	66.46
N-F2	57.60	-29.51	59.54
N-F4	54.30	-51.84	40.81
N-F6	49.83	-67.91	16.37
N-F8	44.42	-73.04	-12.00
N-F10	42.07	-72.11	-50.45
N-AFF6h	65.07	-52.40	22.86
N-AFF2h	71.20	-13.48	51.17
N-AF4	77.73	-35.71	21.96
N-AF8	69.66	-55.74	-10.75
N-FP2	84.90	-29.87	-7.08
N-AFp2	86.76	-13.62	15.30
N-Oz	-114.89	-0.11	14.66
N-OI2h	-118.02	-15.09	-6.93
N-POO10h	-109.13	-43.89	-13.17
N-O2	-112.16	-29.84	8.80
N-POO2	-109.11	-13.65	30.94
N-PO4	-100.85	-36.78	36.40
N-PO8	-97.63	-55.67	2.73
N-PPO10h	-87.81	-65.01	-18.95
N-PPO6h	-89.64	-54.61	37.03
N-PPO2h	-92.69	-13.92	66.96
N-Pz	-81.11	-0.32	82.61
N-P2	-80.49	-31.92	76.72
N-P4	-78.56	-55.67	56.56
N-P6	-75.90	-67.89	28.09
N-P8	-73.07	-73.06	-2.54
N-TPP10h	-60.96	-78.90	-23.80
N-TPP8h	-60.43	-78.52	12.90
N-CPP6h	-62.62	-71.10	47.33
N-CPP4h	-64.48	-50.67	76.13
N-CPP2h	-65.59	-19.42	92.41
N-CP2	-47.07	-38.38	90.69
N-CP4	-46.64	-66.61	65.58
N-CP6	-46.10	-83.32	31.21
N-TP8	-45.55	-85.55	-7.13
N-TTP8h	-29.82	-86.00	11.25
N-CCP6h	-28.99	-79.01	49.63
N-CCP4h	-28.39	-55.11	80.47
N-CCP2h	-28.15	-20.22	98.17
LISCM	n/a	n/a	n/a
LSSCM	n/a	n/a	n/a
LSTrap	n/a	n/a	n/a
LITrap	n/a	n/a	n/a
CGY-x	n/a	n/a	n/a
CGY-y	n/a	n/a	n/a
CGY-z	n/a	n/a	n/a
RITrap	n/a	n/a	n/a
RISCM	n/a	n/a	n/a
RSSCM	n/a	n/a	n/a
RSTrap	n/a	n/a	n/a
CWR-x	n/a	n/a	n/a
CWR-y	n/a	n/a	n/a
